capability,current_state,target_state,tui_design,web_design,primary_sources,bpmn_files
Workspace startup,"Open/Create chooser, runtime-root scan, candidate validation, open/load","Shared lifecycle with explicit ready/degraded/failure/cancel results","Async Bubble Tea commands and contextual status","Authorized session plus shared lifecycle result","live PTY; demos; master spec; DocumentLifecycleService","01;03;09;10"
Document and Dataset browsing,"Implemented in two-pane runtime","Qualified channel-neutral reader context","Keyboard list/detail, focus, promote/back","Responsive list/detail and accessible navigation","master spec; Plan 4 GF-01","01;03;09;10"
Entity inspection,"Implemented across all first-class demo families","Consistent qualified projections and exact origin","Contextual rows, sections, accordions, help","Accessible detail sections and stable deep links","demo coverage review; shared primitives","01;05;09;10"
Focused filtering,"Implemented for structured row surfaces","Shared deterministic filter semantics","Slash filter scoped to focused surface","Column/filter controls scoped to current collection","SP-006; SP-009; tapes/tests","01;07;09;10"
Plain search,"Implemented and directly observed","Qualified results in shared reader context","Ctrl-F search mode and result promotion","Search form/results with accessible disambiguation","live PTY; SearchService; master spec","01;07;09;10"
Guided search,"Intent 61 implemented; 62/66/67 target remains incomplete","All four v1 intents with typed validation/results","Distinct guided mode","Structured query builder using same registry","master spec; byhand capability inventory","07;09;10"
Semantic navigation,"Screen-state restoration implemented; derivation incomplete","Qualified origin token and semantic derivation edge","Promote/back preserves exact visual state","Stable deep-link/origin state independent of browser history alone","Plan 4 GF-01; STEMMA semantic/detail links","07;09;10"
Scalar and controlled editing,"Implemented on supported strict fields","Shared typed mutation/validation lifecycle","Scalar, choice, tri-state, vocabulary and clear actions","Accessible typed forms and pickers","full-editing contract; demos; mutation audit","02;05;09;10"
Collection CRUD,"Broadly implemented with add/delete/reorder","Typed collection transactions across supported constructs","Contextual list actions and guarded delete","Inline/table collection editors with confirmation","full-editing contract; tapes/tests","02;05;09;10"
Root create/delete,"Implemented for supported families with explicit limits","Reference-aware lifecycle for every approved root","Contextual create and confirmation modal","Create forms and impact confirmation","unified plan PAR-113–138; demo coverage","02;05;09;10"
Typed links and references,"Many link pickers/operations implemented; reusable reader trail incomplete","Dataset-scoped targets, impact analysis, and derivation-aware following","Contextual picker and preview","Searchable accessible picker and deep-link trail","FamilyHistoryData 6.2/6.4–6.12; full-editing contract","04;05;07;09;10"
Evidence-first research,"Source structures editable; end-to-end shared research flow partial","Source/Citation/Resource description, extraction, correlation, explicit reasoning, conclusions, backlink trail","Dedicated source/evidence actions","Reviewable evidence workspace using shared use cases","FamilyHistoryData Goals/6.3.1/6.9; byhand provenance target","04;07;09;10"
Event participant provenance,"Partial/expanded parity work","Documentary SourceLnk attachment separated from inferred analysis source","Contextual participant/evidence editor","Evidence-aware participant form and review","byhand capability inventory; STEMMA Source/Event semantics","04;05;09;10"
Narrative and transcription,"Basic editor and substantial strict Text support; advanced UX partial","Rich transcription, authored narrative, semantic markup, references, preview, diff, metadata","Major non-two-pane mode","Structured rich editor with accessible source/preview views","FamilyHistoryData 6.3; advanced narrative PAR-650–656","06;09;10"
Citation preview,"Citation data and renderer services exist","Source-backed preview during authoring and evidence traversal","Contextual citation preview/edit","Preview panel using same renderer contract","citation services; demos; Source/Citation spec","04;06;07;09;10"
Resource access/media,"Metadata editing exists; safe locator/handoff absent","Rights-aware locator and permitted/unavailable/restricted result","Explicit handoff action and recovery status","Rights-aware viewer/download/external handoff","Plan 4 GF-01; Resource spec","07;09;10"
Validation,"Layered validation, stable findings, navigation, and recheck implemented in backend","Consumed consistently by reader and mutation workflows","Status/modal plus exact focus target","Inline summary plus exact accessible finding navigation","Plan 4 audit; FamilyHistoryData section 7","03;04;05;06;08;09;10"
Save and failure retention,"Atomic write and dirty retention implemented","Add stale-baseline guard, backup, verified reopen, shared result envelope","Dirty indicator and actionable save failure","Draft/conflict state and recoverable persistence result","master spec; mutation-path audit","02;08;09;10"
Save As and XML export,"Supported with format distinctions","Exact shared format/interchange contract","Workspace actions with explicit destination","Download/export actions backed by same service","full-editing format contract","02;08;09;10"
Packaging and publication,"Fragments/Plan 4 operations partial or absent","Portable package with Resources and manifest; publication only after separate product approval","Operator workflow if approved","Download/share workflow if approved","Plan 4 operation matrix; Tony's Document exchange goal","08;10"
Web adapter,"Absent","Thin accessible adapter over shared lifecycle, reader, mutation, validation, and persistence","N/A","No browser-owned STEMMA semantics or duplicate workflows","Plan 4 GUI assessment; architecture direction","03;04;05;06;07;08;10"
